compartment	kegg	bigg_id	flux
c	R00177	METAT	0.0
c	R00192	AHCi	-208.51074300005493
c	R00367	GNMT	0.0
c	R00936	DHFR2i	0.0
c	R00939	DHFR	0.0
c	R00941	FTHFDH	0.0
c	R00943	FTHFLi	0.0
c	R00945	GHMT2r	0.0
c	R00946	METS	0.0
c	R01001	CYSTGL	0.0
c	R01218	MTHFD2i	-499.9999999999998
c	R01220	MTHFD	0.0
c	R01224	MTHFR3	1000.0
c	R01290	CYSTS	0.0
c	R01655	MTHFC	-499.99999999999983
c	R02101	TMDS	0.0
c	R02235	r0512	-3.178405866117004e-13
c	R02236	FOLR2	0.0
c	R02287	GluForTx	0.0
c	R02301	FTHFCL	0.0
c	R02302	FTCD	0.0
c	R02565	BETALDHx	0.0
c	R02566	BETALDHy	0.0
c	R02821	BHMT	0.0
c	R04325	GARFT	0.0
c	R04560	AICART	27.26845113604323
c	R07168	MTHFR2	0.0
c	R08557	CHOLD	0.0
m	R00939	DHFRim	3.028731201173161e-13
m	R00943	FTHFLmi	0.0
m	R00945	GHMT2rm	0.0
m	R01025	CHOLD2m	0.0
m	R01218	MTHFD2m	0.0
m	R01220	MTHFDm	527.268451136043
m	R01221	GLYCLm	-472.73154886395685
m	R01655	MTHFCm	527.268451136043
m	R02236	r0514	-1.4967466494384285e-14
m	R02300	THFATm	0.0
m	R02301	FTHFCLm	0.0
m	R02565	BETALDHxm	0.0
m	R04125	GCCbim	0.0
