compartment	kegg	bigg_id	flux
c	R00009	PRDX	0.0
c	R00235	ACS	0.0
c	R00238	ACACT1r	
c	R00253	GLNS	1.4116932535108548
c	R00342	MDH	-4.8575729825856
c	R00369	3HKYNAKGAT	0.0
c	R00465	GLYCLTDy	0.0
c	R00519	FDH	0.9645508744530802
c	R00521	FCOAH	0.0
c	R00526	NACASPAH	0.0
c	R00717	G3PD1ir	-0.8377520792275569
c	R00945	GHMT2r	0.4235550762900001
c	R01325	ACONT	0.0
c	R01333	GCALDD	-1.9134684781247561e-16
c	R01334	PGLYCP	0.0
c	R01392	HPYRRy	0.0
c	R01393	HPYRDC	-1.9134684781247556e-16
c	R01745	ALR2	0.0
c	R01781	LCARR	0.0
c	R01859	ACCOAC	5.913942871022954e-31
c	R01959	FKYNH	0.940009172151366
c	R03140	3HXKYNDCL	0.0
c	R08572	GLYCK2	0.0
c	R12696	GHMT3	0.0
m	R00009	CATm	0.0
m	R00021	GLUNm	0.0
m	R00235	ACSm	0.0
m	R00238	ACACT1m	7.320431239966673
m	R00342	MDHm	7.040561699474832
m	R00351	CSm	0.6107828144858275
m	R00369	AGTim	0.0
m	R00465	GLYCLTDym	0.0
m	R00470	DDPGAm	0.0
m	R00833	MMMm	0.9910633498184239
m	R00945	GHMT2rm	0.0
m	R01221	2OXOADOXm	1.16285526593042
m	R01325	ACONTm	0.6107828144858274
m	R01333	GCALDDm	0.0
m	R01388	LDH_Lm	0.0
m	R01393	HPYRDCm	0.0
m	R01859	PPCOACm	0.558249358569149
m	R02765	MMEm	-0.5582493585691493
m	R03027	3HBCDm	0.0
m	R12696	GHMT3m	0.0
x	R00009	CATp	1.4865087074039367
x	R00238	ACACT1x	0.0
x	R00369	AGTix	-1.9134684781247556e-16
x	R00466	GLXO2p	0.0
x	R00475	GLYCTO1p	-1.913468478124756e-16
x	R03027	ECOAH1x	0.0
