status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	iMM904	Saccharomyces cerevisiae S288C	map00010	rn00010	Glycolysis / gluconeogenesis	1577	1226	905	1577	1226	56	31	0		15	41	26.79	20	11	64.52	99	15	95	0	34	0	results\eukaryote_maps\maps\map00010\iMM904\iMM904_map00010_map.json	results\eukaryote_maps\maps\map00010\iMM904\iMM904_map00010_map.html	results\eukaryote_maps\maps\map00010\iMM904\summary.json	results\eukaryote_maps\models\iMM904.xml	4.228	
built	iMM904	Saccharomyces cerevisiae S288C	map00020	rn00020	Citrate cycle (TCA cycle)	1577	1226	905	1577	1226	29	20	0		7	22	24.14	12	8	60.0	55	7	51	0	22	0	results\eukaryote_maps\maps\map00020\iMM904\iMM904_map00020_map.json	results\eukaryote_maps\maps\map00020\iMM904\iMM904_map00020_map.html	results\eukaryote_maps\maps\map00020\iMM904\summary.json	results\eukaryote_maps\models\iMM904.xml	1.978	
built	iMM904	Saccharomyces cerevisiae S288C	map00030	rn00030	Pentose phosphate pathway	1577	1226	905	1577	1226	58	37	1	R06837	11	47	18.97	22	15	59.46	75	11	64	0	20	0	results\eukaryote_maps\maps\map00030\iMM904\iMM904_map00030_map.json	results\eukaryote_maps\maps\map00030\iMM904\iMM904_map00030_map.html	results\eukaryote_maps\maps\map00030\iMM904\summary.json	results\eukaryote_maps\models\iMM904.xml	2.38	
built	iMM904	Saccharomyces cerevisiae S288C	map00680	rn00680	Methane metabolism / C1 metabolism	1577	1226	905	1577	1226	104	86	3	R08323, R08328, R10397	14	90	13.46	29	57	33.72	100	14	88	0	29	0	results\eukaryote_maps\maps\map00680\iMM904\iMM904_map00680_map.json	results\eukaryote_maps\maps\map00680\iMM904\iMM904_map00680_map.html	results\eukaryote_maps\maps\map00680\iMM904\summary.json	results\eukaryote_maps\models\iMM904.xml	3.61	
built	iMM1415	Mus musculus	map00010	rn00010	Glycolysis / gluconeogenesis	3726	2775	1375	3726	2775	56	31	0		16	40	28.57	19	12	61.29	104	16	102	0	37	0	results\eukaryote_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json	results\eukaryote_maps\maps\map00010\iMM1415\iMM1415_map00010_map.html	results\eukaryote_maps\maps\map00010\iMM1415\summary.json	results\eukaryote_maps\models\iMM1415.xml	3.749	
built	iMM1415	Mus musculus	map00020	rn00020	Citrate cycle (TCA cycle)	3726	2775	1375	3726	2775	29	20	0		9	20	31.03	12	8	60.0	69	9	68	0	30	0	results\eukaryote_maps\maps\map00020\iMM1415\iMM1415_map00020_map.json	results\eukaryote_maps\maps\map00020\iMM1415\iMM1415_map00020_map.html	results\eukaryote_maps\maps\map00020\iMM1415\summary.json	results\eukaryote_maps\models\iMM1415.xml	2.709	
built	iMM1415	Mus musculus	map00030	rn00030	Pentose phosphate pathway	3726	2775	1375	3726	2775	58	37	1	R06837	13	45	22.41	22	15	59.46	85	13	76	0	24	0	results\eukaryote_maps\maps\map00030\iMM1415\iMM1415_map00030_map.json	results\eukaryote_maps\maps\map00030\iMM1415\iMM1415_map00030_map.html	results\eukaryote_maps\maps\map00030\iMM1415\summary.json	results\eukaryote_maps\models\iMM1415.xml	3.879	
built	iMM1415	Mus musculus	map00680	rn00680	Methane metabolism / C1 metabolism	3726	2775	1375	3726	2775	104	86	3	R08323, R08328, R10397	15	89	14.42	35	51	40.7	110	15	93	0	30	0	results\eukaryote_maps\maps\map00680\iMM1415\iMM1415_map00680_map.json	results\eukaryote_maps\maps\map00680\iMM1415\iMM1415_map00680_map.html	results\eukaryote_maps\maps\map00680\iMM1415\summary.json	results\eukaryote_maps\models\iMM1415.xml	5.982	
built	Recon3D	Homo sapiens	map00010	rn00010	Glycolysis / gluconeogenesis	10600	5835	2248	10600	5835	56	31	0		17	39	30.36	20	11	64.52	111	17	109	0	40	0	results\eukaryote_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json	results\eukaryote_maps\maps\map00010\Recon3D\Recon3D_map00010_map.html	results\eukaryote_maps\maps\map00010\Recon3D\summary.json	results\eukaryote_maps\models\Recon3D.xml	7.086	
built	Recon3D	Homo sapiens	map00020	rn00020	Citrate cycle (TCA cycle)	10600	5835	2248	10600	5835	29	20	0		13	16	44.83	14	6	70.0	90	13	91	0	37	0	results\eukaryote_maps\maps\map00020\Recon3D\Recon3D_map00020_map.json	results\eukaryote_maps\maps\map00020\Recon3D\Recon3D_map00020_map.html	results\eukaryote_maps\maps\map00020\Recon3D\summary.json	results\eukaryote_maps\models\Recon3D.xml	4.456	
