kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R00002	MNXR106334	1.18.6.1		rxn11947			reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)||16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin||16 keggC:C00002@IN + 16 keggC:C00001@IN + 8 keggC:C00138@IN <=> 8 keggC:C05359@IN + 16 keggC:C00009@IN + 16 keggC:C00008@IN + 8 keggC:C00139@IN	
R00004	MNXR145285	3.1.3|3.1.3.1|3.1.3.2|3.6.1|3.6.1.1|3.6.2.1	IDP_h|IDPh|IDPh_1|IDPm|PPA|PPAer|PPAm|PPAn|R_IDP_h|R_IDPh|R_IDPh_1|R_IDPm|R_PPA|R_PPAer|R_PPAm|R_PPAn|R_r0009|r0009	rxn00001|rxn27946|rxn27947|rxn27948|rxn32487|rxn38157|rxn38158	INORGPYROPHOSPHAT-RXN	24576|24577|24578|24579	diphosphate phosphohydrolase||Diphosphate + H2O <=> 2 Orthophosphate||pyrophosphate phosphohydrolase||1 keggC:C00013@IN + 1 keggC:C00001@IN <=> 2 keggC:C00009@IN	bigg(18),seed(7),rhea(4),ec(6)
R00005	MNXR95786	3.5.1.54	ALPHNH|ALPHm|R_ALPHNH|R_ALPHm	rxn00002|rxn30346|rxn35525	ALLOPHANATE-HYDROLASE-RXN	19029|19030|19031|19032	urea-1-carboxylate amidohydrolase||Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia||1 keggC:C01010@IN + 1 keggC:C00001@IN <=> 2 keggC:C00011@IN + 2 keggC:C00014@IN	bigg(4),seed(3),rhea(4)
R00006	MNXR146819	2.2.1.6|4.1.3.18	ACLS|ACLSm|PPATDh|R_ACLS|R_ACLSm|R_PPATDh	rxn00003|rxn15021|rxn27664|rxn30144|rxn30334|rxn33164	ACETOLACTSYN-RXN	25249|25250|25251|25252	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)||2-Acetolactate + CO2 <=> 2 Pyruvate||2-acetolactate pyruvate-lyase (carboxylating)||1 keggC:C00900@IN + 1 keggC:C00011@IN <=> 2 keggC:C00022@IN	kegg(2),bigg(6),seed(6),rhea(4),ec(2)
R00008	MNXR106336	4.1.3.17	DDPGA|DDPGAm|HOPNTAL|OAADC|OAADCm|OCAALD|R_DDPGA|R_DDPGAm|R_HOPNTAL|R_OAADC|R_OAADCm|R_OCAALD	rxn00004|rxn18929|rxn18930	4.1.3.17-RXN|RXN-12074	22748|22749|22750|22751	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)||Parapyruvate <=> 2 Pyruvate||1 keggC:C06033@IN <=> 2 keggC:C00022@IN	seed(3),metacyc(2),rhea(4),ec_fallback(participants>=0.50,bigg:12)
R00009	MNXR96455	1.11.1|1.11.1.21|1.11.1.6|1.14.18.1	CAT|CATm|CATp|CATpp|CATr|R_CAT|R_CATm|R_CATp|R_CATpp|R_CATr	rxn00006|rxn19264|rxn22404|rxn27744|rxn31381	CATAL-RXN	20309|20310|20311|20312	hydrogen-peroxide:hydrogen-peroxide oxidoreductase||2 Hydrogen peroxide <=> Oxygen + 2 H2O||2 keggC:C00027@IN <=> 1 keggC:C00007@IN + 2 keggC:C00001@IN	bigg(10),seed(5),rhea(4),ec(4)
R00010	MNXR192384	3.2.1.20|3.2.1.28	R_TREH|R_TREHe|R_TREHpp|R_TREHv|TREH|TREHe|TREHpp|TREHv	rxn00007|rxn29977|rxn30219|rxn30442			alpha,alpha-trehalose glucohydrolase||alpha,alpha-Trehalose + H2O <=> 2 D-Glucose||1 keggC:C01083@IN + 1 keggC:C00001@IN <=> 2 keggC:C00031@IN	kegg(2),bigg(8),seed(4),ec(2)
R00011	MNXR106337	1.11.1.13|1.11.1.16|2.4.1.25|2.4.1.8|3.2.1.20|4.2.1.131		rxn20171|rxn39256	MANGANESE-PEROXIDASE-RXN	22776|22777|22778|22779	Mn(II):hydrogen-peroxide oxidoreductase||2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O||2 keggC:C19610@IN + 1 keggC:C00027@IN + 2 keggC:C00080@IN <=> 2 keggC:C19611@IN + 2 keggC:C00001@IN	seed(2),rhea(4),ec(6)
R00012	MNXR106338	2.7.7.45		rxn00009|rxn33150|rxn33152	2.7.7.45-RXN	18153|18154|18155|18156	GTP:GTP guanylyltransferase||2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate||2 keggC:C00044@IN <=> 1 keggC:C00013@IN + 1 keggC:C01261@IN	seed(3),rhea(4)
R00013	MNXR195443	4.1.1.47	GLXCBL|GLXCL|R_GLXCBL|R_GLXCL	rxn00010		10136|10137|10138|10139	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)||2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2||2 keggC:C00048@IN <=> 1 keggC:C01146@IN + 1 keggC:C00011@IN	bigg(4),rhea(4)
