pathway	pathway_rn	pathway_label	model_id	organism	reaction_count	reaction_set	status	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	41	R00014|R00199|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01061|R01063|R01068|R01196|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	40	R00014|R00199|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01061|R01063|R01068|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	40	R00014|R00199|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01061|R01063|R01068|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	33	R00014|R00199|R00200|R00206|R00229|R00235|R00658|R00703|R00710|R00711|R00746|R00754|R00755|R00762|R00959|R01015|R01061|R01063|R01068|R01512|R01516|R01518|R01600|R01662|R01786|R02739|R04394|R05132|R05805|R09085|R09086|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	33	R00014|R00199|R00200|R00206|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00959|R01015|R01061|R01063|R01068|R01512|R01516|R01518|R01600|R01662|R01786|R02569|R02739|R03270|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAPECO1_1312	Escherichia coli APEC O1	41	R00014|R00199|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01061|R01063|R01068|R01196|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iAPECO1_1312\iAPECO1_1312_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iB21_1397	Escherichia coli BL21(DE3)	41	R00014|R00199|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01061|R01063|R01068|R01196|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iB21_1397\iB21_1397_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iBWG_1329	Escherichia coli BW2952	41	R00014|R00199|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01061|R01063|R01068|R01196|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iBWG_1329\iBWG_1329_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iCN718	Acinetobacter baumannii AYE	28	R00014|R00199|R00235|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00755|R00762|R00959|R01015|R01061|R01063|R01068|R01512|R01516|R01518|R01662|R02569|R02739|R03270|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iCN718\iCN718_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iCN900	Clostridioides difficile 630	42	R00014|R00199|R00200|R00206|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00756|R00762|R00947|R00959|R01015|R01058|R01061|R01063|R01068|R01196|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R02569|R02739|R03270|R04394|R05132|R05133|R05134|R05805|R07618|R10860|R13199	ok	outputs\bigg_prokaryote_bioemma\maps\map00010\iCN900\iCN900_map00010_map.json
