pathway	pathway_rn	pathway_label	model_id	organism	reaction_node_id	kegg_reaction_id	model_reaction_id	metabolite_count	metabolite_bigg_ids	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	55	R00199	PPS	7	amp|atp|h|h2o|pep|pi|pyr	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	38	R00341	PPCK	5	adp|atp|co2|oaa|pep	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	12	R00658	ENO	3	2pg|h2o|pep	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3	R00711	ALDD2y	6	ac|acald|h|h2o|nadp|nadph	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	6	R00754	ALCD2x	5	acald|etoh|h|nad|nadh	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	16	R00756	PFK	5	adp|atp|f6p|fdp|h	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	15	R01015		2	dhap	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	14	R01061		6	13dpg|h|nad|nadh|pi	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	R01068		3	dhap|fdp	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28	R01512	PGK	4	13dpg|3pg|adp|atp	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	13	R01518	PGM	2	2pg|3pg	results\prokaryote_maps\maps\map00010\STM_v1_0\STM_v1_0_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	55	R00199	PPS	7	amp|atp|h|h2o|pep|pi|pyr	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	38	R00341	PPCK	5	adp|atp|co2|oaa|pep	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	12	R00658	ENO	3	2pg|h2o|pep	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	1	R00710	ALDD2x	6	ac|acald|h|h2o|nad|nadh	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	3	R00711	ALDD2y	6	ac|acald|h|h2o|nadp|nadph	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	6	R00754	ALCD2x	5	acald|etoh|h|nad|nadh	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	16	R00756	PFK	5	adp|atp|f6p|fdp|h	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	15	R01015		2	dhap	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	14	R01061		6	13dpg|h|nad|nadh|pi	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	0	R01068		3	dhap|fdp	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	28	R01512	PGK	4	13dpg|3pg|adp|atp	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	13	R01518	PGM	2	2pg|3pg	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	55	R00199	PPS	7	amp|atp|h|h2o|pep|pi|pyr	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	38	R00341	PPCK	5	adp|atp|co2|oaa|pep	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	12	R00658	ENO	3	2pg|h2o|pep	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	1	R00710	ALDD2x	6	ac|acald|h|h2o|nad|nadh	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	3	R00711	ALDD2y	6	ac|acald|h|h2o|nadp|nadph	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	6	R00754	ALCD2x	5	acald|etoh|h|nad|nadh	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	16	R00756	PFK	5	adp|atp|f6p|fdp|h	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	15	R01015		2	dhap	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	14	R01061		6	13dpg|h|nad|nadh|pi	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	0	R01068		3	dhap|fdp	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	28	R01512	PGK	4	13dpg|3pg|adp|atp	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	13	R01518	PGM	2	2pg|3pg	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	55	R00199	PPS	7	amp|atp|h|h2o|pep|pi|pyr	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	54	R00206	PPDK	7	amp|atp|h|pep|pi|ppi|pyr	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	12	R00658	ENO	3	2pg|h2o|pep	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	10	R00703	LDH_L	5	h|lac__L|nad|nadh|pyr	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	1	R00710	ALDD2x	6	ac|acald|h|h2o|nad|nadh	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	5	R00746	ALCD2y	5	acald|etoh|h|nadp|nadph	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	15	R01015		2	dhap	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	14	R01061		6	13dpg|h|nad|nadh|pi	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	39	R01063		6	13dpg|h|nadp|nadph|pi	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	0	R01068		3	dhap|fdp	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	28	R01512	PGK	4	13dpg|3pg|adp|atp	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	13	R01518	PGM	2	2pg|3pg	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	46	R05805	PFK_adp	5	adp|amp|f6p|fdp|h	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	55	R00199	PPS	7	amp|atp|h|h2o|pep|pi|pyr	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	54	R00206	PPDK	7	amp|atp|h|pep|pi|ppi|pyr	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	38	R00341	PPCK	5	adp|atp|co2|oaa|pep	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	35	R00431	PEPCK_re	5	co2|gdp|gtp|oaa|pep	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	12	R00658	ENO	3	2pg|h2o|pep	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	1	R00710	ALDD2x	6	ac|acald|h|h2o|nad|nadh	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	6	R00754	ALCD2x	5	acald|etoh|h|nad|nadh	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	16	R00756	PFK	5	adp|atp|f6p|fdp|h	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	15	R01015		2	dhap	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json
