pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	56		40	16	71.43	19	12	61.29	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json	results\prokaryote_maps\maps\map00010\iAF1260\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	29		22	7	75.86	13	7	65.0	results\prokaryote_maps\maps\map00020\iAF1260\iAF1260_map00020_map.json	results\prokaryote_maps\maps\map00020\iAF1260\summary.json
map00030	rn00030	Pentose phosphate pathway	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\iAF1260\iAF1260_map00030_map.json	results\prokaryote_maps\maps\map00030\iAF1260\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	104	R08323, R08328, R10397	31	73	29.81	35	51	40.7	results\prokaryote_maps\maps\map00680\iAF1260\iAF1260_map00680_map.json	results\prokaryote_maps\maps\map00680\iAF1260\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	56		40	16	71.43	19	12	61.29	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json	results\prokaryote_maps\maps\map00010\iAF1260b\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	29		22	7	75.86	13	7	65.0	results\prokaryote_maps\maps\map00020\iAF1260b\iAF1260b_map00020_map.json	results\prokaryote_maps\maps\map00020\iAF1260b\summary.json
map00030	rn00030	Pentose phosphate pathway	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\iAF1260b\iAF1260b_map00030_map.json	results\prokaryote_maps\maps\map00030\iAF1260b\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	104	R08323, R08328, R10397	31	73	29.81	35	51	40.7	results\prokaryote_maps\maps\map00680\iAF1260b\iAF1260b_map00680_map.json	results\prokaryote_maps\maps\map00680\iAF1260b\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF692	Methanosarcina barkeri str. Fusaro	built	690	628	56		33	23	58.93	19	12	61.29	results\prokaryote_maps\maps\map00010\iAF692\iAF692_map00010_map.json	results\prokaryote_maps\maps\map00010\iAF692\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF692	Methanosarcina barkeri str. Fusaro	built	690	628	29		10	19	34.48	12	8	60.0	results\prokaryote_maps\maps\map00020\iAF692\iAF692_map00020_map.json	results\prokaryote_maps\maps\map00020\iAF692\summary.json
map00030	rn00030	Pentose phosphate pathway	iAF692	Methanosarcina barkeri str. Fusaro	built	690	628	58	R06837	17	41	29.31	21	16	56.76	results\prokaryote_maps\maps\map00030\iAF692\iAF692_map00030_map.json	results\prokaryote_maps\maps\map00030\iAF692\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAF692	Methanosarcina barkeri str. Fusaro	built	690	628	104	R08323, R08328, R10397	43	61	41.35	57	29	66.28	results\prokaryote_maps\maps\map00680\iAF692\iAF692_map00680_map.json	results\prokaryote_maps\maps\map00680\iAF692\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF987	Geobacter metallireducens GS-15	built	1285	1109	56		33	23	58.93	18	13	58.06	results\prokaryote_maps\maps\map00010\iAF987\iAF987_map00010_map.json	results\prokaryote_maps\maps\map00010\iAF987\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF987	Geobacter metallireducens GS-15	built	1285	1109	29		22	7	75.86	13	7	65.0	results\prokaryote_maps\maps\map00020\iAF987\iAF987_map00020_map.json	results\prokaryote_maps\maps\map00020\iAF987\summary.json
map00030	rn00030	Pentose phosphate pathway	iAF987	Geobacter metallireducens GS-15	built	1285	1109	58	R06837	23	35	39.66	18	19	48.65	results\prokaryote_maps\maps\map00030\iAF987\iAF987_map00030_map.json	results\prokaryote_maps\maps\map00030\iAF987\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAF987	Geobacter metallireducens GS-15	built	1285	1109	104	R08323, R08328, R10397	28	76	26.92	29	57	33.72	results\prokaryote_maps\maps\map00680\iAF987\iAF987_map00680_map.json	results\prokaryote_maps\maps\map00680\iAF987\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	56		41	15	73.21	22	9	70.97	results\prokaryote_maps\maps\map00010\iAPECO1_1312\iAPECO1_1312_map00010_map.json	results\prokaryote_maps\maps\map00010\iAPECO1_1312\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iAPECO1_1312\iAPECO1_1312_map00020_map.json	results\prokaryote_maps\maps\map00020\iAPECO1_1312\summary.json
map00030	rn00030	Pentose phosphate pathway	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\iAPECO1_1312\iAPECO1_1312_map00030_map.json	results\prokaryote_maps\maps\map00030\iAPECO1_1312\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	results\prokaryote_maps\maps\map00680\iAPECO1_1312\iAPECO1_1312_map00680_map.json	results\prokaryote_maps\maps\map00680\iAPECO1_1312\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	56		41	15	73.21	21	10	67.74	results\prokaryote_maps\maps\map00010\iB21_1397\iB21_1397_map00010_map.json	results\prokaryote_maps\maps\map00010\iB21_1397\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iB21_1397\iB21_1397_map00020_map.json	results\prokaryote_maps\maps\map00020\iB21_1397\summary.json
map00030	rn00030	Pentose phosphate pathway	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	58	R06837	33	25	56.9	26	11	70.27	results\prokaryote_maps\maps\map00030\iB21_1397\iB21_1397_map00030_map.json	results\prokaryote_maps\maps\map00030\iB21_1397\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	results\prokaryote_maps\maps\map00680\iB21_1397\iB21_1397_map00680_map.json	results\prokaryote_maps\maps\map00680\iB21_1397\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iBWG_1329	Escherichia coli BW2952	built	2741	1949	56		41	15	73.21	21	10	67.74	results\prokaryote_maps\maps\map00010\iBWG_1329\iBWG_1329_map00010_map.json	results\prokaryote_maps\maps\map00010\iBWG_1329\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iBWG_1329	Escherichia coli BW2952	built	2741	1949	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iBWG_1329\iBWG_1329_map00020_map.json	results\prokaryote_maps\maps\map00020\iBWG_1329\summary.json
map00030	rn00030	Pentose phosphate pathway	iBWG_1329	Escherichia coli BW2952	built	2741	1949	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\iBWG_1329\iBWG_1329_map00030_map.json	results\prokaryote_maps\maps\map00030\iBWG_1329\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iBWG_1329	Escherichia coli BW2952	built	2741	1949	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	results\prokaryote_maps\maps\map00680\iBWG_1329\iBWG_1329_map00680_map.json	results\prokaryote_maps\maps\map00680\iBWG_1329\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	ic_1306	Escherichia coli CFT073	built	2726	1936	56		41	15	73.21	22	9	70.97	results\prokaryote_maps\maps\map00010\ic_1306\ic_1306_map00010_map.json	results\prokaryote_maps\maps\map00010\ic_1306\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	ic_1306	Escherichia coli CFT073	built	2726	1936	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\ic_1306\ic_1306_map00020_map.json	results\prokaryote_maps\maps\map00020\ic_1306\summary.json
map00030	rn00030	Pentose phosphate pathway	ic_1306	Escherichia coli CFT073	built	2726	1936	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\ic_1306\ic_1306_map00030_map.json	results\prokaryote_maps\maps\map00030\ic_1306\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	ic_1306	Escherichia coli CFT073	built	2726	1936	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	results\prokaryote_maps\maps\map00680\ic_1306\ic_1306_map00680_map.json	results\prokaryote_maps\maps\map00680\ic_1306\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iCN718	Acinetobacter baumannii AYE	built	1015	888	56		28	28	50.0	21	10	67.74	results\prokaryote_maps\maps\map00010\iCN718\iCN718_map00010_map.json	results\prokaryote_maps\maps\map00010\iCN718\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iCN718	Acinetobacter baumannii AYE	built	1015	888	29		21	8	72.41	13	7	65.0	results\prokaryote_maps\maps\map00020\iCN718\iCN718_map00020_map.json	results\prokaryote_maps\maps\map00020\iCN718\summary.json
map00030	rn00030	Pentose phosphate pathway	iCN718	Acinetobacter baumannii AYE	built	1015	888	58	R06837	20	38	34.48	24	13	64.86	results\prokaryote_maps\maps\map00030\iCN718\iCN718_map00030_map.json	results\prokaryote_maps\maps\map00030\iCN718\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iCN718	Acinetobacter baumannii AYE	built	1015	888	104	R08323, R08328, R10397	31	73	29.81	30	56	34.88	results\prokaryote_maps\maps\map00680\iCN718\iCN718_map00680_map.json	results\prokaryote_maps\maps\map00680\iCN718\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iCN900	Clostridioides difficile 630	built	1229	885	56		42	14	75.0	24	7	77.42	results\prokaryote_maps\maps\map00010\iCN900\iCN900_map00010_map.json	results\prokaryote_maps\maps\map00010\iCN900\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iCN900	Clostridioides difficile 630	built	1229	885	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iCN900\iCN900_map00020_map.json	results\prokaryote_maps\maps\map00020\iCN900\summary.json
map00030	rn00030	Pentose phosphate pathway	iCN900	Clostridioides difficile 630	built	1229	885	58	R06837	32	26	55.17	26	11	70.27	results\prokaryote_maps\maps\map00030\iCN900\iCN900_map00030_map.json	results\prokaryote_maps\maps\map00030\iCN900\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iCN900	Clostridioides difficile 630	built	1229	885	104	R08323, R08328, R10397	33	71	31.73	32	54	37.21	results\prokaryote_maps\maps\map00680\iCN900\iCN900_map00680_map.json	results\prokaryote_maps\maps\map00680\iCN900\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	56		41	15	73.21	21	10	67.74	results\prokaryote_maps\maps\map00010\iE2348C_1286\iE2348C_1286_map00010_map.json	results\prokaryote_maps\maps\map00010\iE2348C_1286\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iE2348C_1286\iE2348C_1286_map00020_map.json	results\prokaryote_maps\maps\map00020\iE2348C_1286\summary.json
map00030	rn00030	Pentose phosphate pathway	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	58	R06837	33	25	56.9	26	11	70.27	results\prokaryote_maps\maps\map00030\iE2348C_1286\iE2348C_1286_map00030_map.json	results\prokaryote_maps\maps\map00030\iE2348C_1286\summary.json
