pathway	pathway_rn	pathway_label	model_a	organism_a	model_b	organism_b	reaction_count_a	reaction_count_b	intersection_count	union_count	only_a_count	only_b_count	jaccard	jaccard_percent	identical_reaction_set
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iAF1260	Escherichia coli str. K-12 substr. MG1655	41	40	40	41	1	0	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iAF1260b	Escherichia coli str. K-12 substr. MG1655	41	40	40	41	1	0	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iAF692	Methanosarcina barkeri str. Fusaro	41	33	28	46	13	5	0.6087	60.87	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iAF987	Geobacter metallireducens GS-15	41	33	32	42	9	1	0.7619	76.19	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iAPECO1_1312	Escherichia coli APEC O1	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iB21_1397	Escherichia coli BL21(DE3)	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iBWG_1329	Escherichia coli BW2952	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iCN718	Acinetobacter baumannii AYE	41	28	27	42	14	1	0.6429	64.29	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iCN900	Clostridioides difficile 630	41	42	39	44	2	3	0.8864	88.64	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC042_1314	Escherichia coli 042	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC1344_C	Escherichia coli C	41	41	40	42	1	1	0.9524	95.24	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC1349_Crooks	Escherichia coli ATCC 8739	41	40	40	41	1	0	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	41	41	40	42	1	1	0.9524	95.24	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC1364_W	Escherichia coli W	41	41	40	42	1	1	0.9524	95.24	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC1368_DH5a	Escherichia coli DH5[alpha]	41	41	40	42	1	1	0.9524	95.24	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	41	40	40	41	1	0	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iEC55989_1330	Escherichia coli 55989	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iECABU_c1320	Escherichia coli ABU 83972	41	41	41	41	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	41	41	41	41	0	0	1.0	100.0	1
