pathway	pathway_rn	pathway_label	model_a	model_b	only_a_count	only_a_reactions	only_b_count	only_b_reactions	shared_count	shared_reactions
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iAF1260	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iAF1260b	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iAF692	5	R00235|R00341|R00711|R00754|R00756	6	R00206|R00703|R00710|R00746|R01063|R05805	9	R00199|R00200|R00658|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iAF987	1	R00711	3	R00206|R00431|R00710	13	R00199|R00200|R00235|R00341|R00658|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iB21_1397	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iBWG_1329	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iCN718	3	R00200|R00341|R00756	6	R00014|R00431|R00703|R00710|R00726|R00755	11	R00199|R00235|R00658|R00711|R00754|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iCN900	1	R00711	9	R00206|R00703|R00710|R00959|R01063|R01196|R01786|R05805|R13199	13	R00199|R00200|R00235|R00341|R00658|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC042_1314	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC1344_C	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC1349_Crooks	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC1356_Bl21DE3	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC1364_W	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC1368_DH5a	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC1372_W3110	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iEC55989_1330	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iECBD_1354	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iECB_1328	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
map00010	rn00010	Glycolysis / gluconeogenesis	STM_v1_0	iECDH10B_1368	0		1	R00710	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518
