pathway	pathway_rn	pathway_label	model_id	organism	reaction_count	reaction_set	status	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAPECO1_1312	Escherichia coli APEC O1	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iAPECO1_1312\iAPECO1_1312_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iB21_1397	Escherichia coli BL21(DE3)	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iB21_1397\iB21_1397_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iBWG_1329	Escherichia coli BW2952	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iBWG_1329\iBWG_1329_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iE2348C_1286\iE2348C_1286_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC042_1314	Escherichia coli 042	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC042_1314\iEC042_1314_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1344_C	Escherichia coli C	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC1344_C\iEC1344_C_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1349_Crooks	Escherichia coli ATCC 8739	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC1349_Crooks\iEC1349_Crooks_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC1356_Bl21DE3\iEC1356_Bl21DE3_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1364_W	Escherichia coli W	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC1364_W\iEC1364_W_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1368_DH5a	Escherichia coli DH5[alpha]	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC1368_DH5a\iEC1368_DH5a_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC1372_W3110\iEC1372_W3110_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC55989_1330	Escherichia coli 55989	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iEC55989_1330\iEC55989_1330_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECABU_c1320	Escherichia coli ABU 83972	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECABU_c1320\iECABU_c1320_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECBD_1354\iECBD_1354_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECB_1328	Escherichia coli B str. REL606	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECB_1328\iECB_1328_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECDH10B_1368\iECDH10B_1368_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECDH1ME8569_1439	Escherichia coli DH1	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECDH1ME8569_1439\iECDH1ME8569_1439_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECD_1391	Escherichia coli BL21(DE3)	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECD_1391\iECD_1391_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECED1_1282	Escherichia coli ED1a	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECED1_1282\iECED1_1282_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECH74115_1262\iECH74115_1262_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECIAI1_1343	Escherichia coli IAI1	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iECIAI39_1322	Escherichia coli IAI39	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.json
