pathway	pathway_rn	pathway_label	model_id	organism	reaction_node_id	kegg_reaction_id	model_reaction_id	metabolite_count	metabolite_bigg_ids	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	7	R00014	ACLSa	7	2ahbut|2ahethmpp|2obut|co2|h|pyr|thmpp	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	55	R00199	PPS	7	amp|atp|h|h2o|pep|pi|pyr	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	11	R00200	PYK	5	adp|atp|h|pep|pyr	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	2	R00229	ACCOAL	8	ac|accoa|adp|atp|coa|pi|ppa|ppcoa	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	38	R00341	PPCK	5	adp|atp|co2|oaa|pep	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	35	R00431	PEPCK_re	5	adp|atp|co2|oaa|pep	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	12	R00658	ENO	3	2pg|h2o|pep	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	10	R00703	LDH_L	7	5dglcn|glcn|h|lac__L|nadp|nadph|pyr	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	1	R00710	ALDD2x	6	ac|acald|h|h2o|nad|nadh	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	3	R00711	ALDD2y	6	ac|acald|h|h2o|nadp|nadph	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	36	R00726	ITPOXAL	5	adp|atp|co2|oaa|pep	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	5	R00746	ALCD2y	7	acald|etoh|glyald|glyc|h|nad|nadh	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	6	R00754	ALCD2x	5	acald|etoh|h|nad|nadh	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	16	R00756	PFK	5	adp|atp|f6p|fdp|h	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	17	R00762	FBP	4	f6p|fdp|h2o|pi	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	26	R00947	ACGAM1PPpp	6	Glc_aD|acgam|acgam1p|h2o|pi	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	20	R00959	PGCM	3	g6p|g6p_A	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	15	R01015	R_TPI	2	dhap	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	14	R01061	GAPD	6	13dpg|h|nad|nadh|pi	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	39	R01063	GAPDH_nadp_hi	6	13dpg|h|nad|nadh|pi	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	0	R01068	FBA	3	dhap|fdp	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	28	R01512	PGK	4	13dpg|3pg|adp|atp	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	43	R01516		2	23dpg|3pg	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	13	R01518	PGM	2	2pg|3pg	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	21	R01600	GLCBPP	6	M01389|adp|atp|g6p|glc_D_B|h	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	23	R01602	A1E	4	Glc_aD|gal|gal_bD|glc_D_B	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	44	R01662	DPGM	2	13dpg|23dpg	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	24	R01786	GLUKA	6	Glc_aD|adp|atp|g6p|g6p_A|h	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	25	R01788	G6PP	5	Glc_aD|g6p|g6p_A|h2o|pi	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	9	R02569	PDH	7	accoa|co2|coa|nad|nadh	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	22	R02739	G6PI_1	3	M01389|g6p|g6p_A	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	8	R03270	ACLSa	8	2ahethmpp|co2|coa|nad|nadh|thmpp	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	32	R04394		4	salcn|salcn6p|tre|tre6p	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	31	R05132		4	arbt|arbt6p|tre|tre6p	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	33	R05133	AB6PGH_1	5	M01389|arbt6p|g6p|h2o|hqn	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	34	R05134	6PHBG2	5	M01389|g6p|h2o|hqn|salcn6p	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	27	R07618	AKGDH	8	akg|co2|coa|nad|nadh|succoa	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	51	R10860	ABUTD	8	3pg|4abut|4abutn|h|h2o|nad|nadh	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	19	R13199	PGI1	3	f6p|g6p|g6p_A	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json
