pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	56		40	16	71.43	19	12	61.29	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260\iAF1260_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260\summary.json
map00030	rn00030	Pentose phosphate pathway	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260\iAF1260_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAF1260	Escherichia coli str. K-12 substr. MG1655	built	2382	1668	104	R08323, R08328, R10397	31	73	29.81	35	51	40.7	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260\iAF1260_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	56		40	16	71.43	19	12	61.29	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260b\iAF1260b_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260b\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260b\iAF1260b_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260b\summary.json
map00030	rn00030	Pentose phosphate pathway	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260b\iAF1260b_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260b\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAF1260b	Escherichia coli str. K-12 substr. MG1655	built	2388	1668	104	R08323, R08328, R10397	31	73	29.81	35	51	40.7	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260b\iAF1260b_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260b\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iAPECO1_1312\iAPECO1_1312_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAPECO1_1312\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAPECO1_1312\iAPECO1_1312_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAPECO1_1312\summary.json
map00030	rn00030	Pentose phosphate pathway	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iAPECO1_1312\iAPECO1_1312_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAPECO1_1312\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iAPECO1_1312	Escherichia coli APEC O1	built	2735	1942	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iAPECO1_1312\iAPECO1_1312_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAPECO1_1312\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iB21_1397\iB21_1397_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iB21_1397\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iB21_1397\iB21_1397_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iB21_1397\summary.json
map00030	rn00030	Pentose phosphate pathway	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	58	R06837	33	25	56.9	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iB21_1397\iB21_1397_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iB21_1397\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iB21_1397	Escherichia coli BL21(DE3)	built	2741	1943	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iB21_1397\iB21_1397_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iB21_1397\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iBWG_1329	Escherichia coli BW2952	built	2741	1949	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iBWG_1329\iBWG_1329_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iBWG_1329\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iBWG_1329	Escherichia coli BW2952	built	2741	1949	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iBWG_1329\iBWG_1329_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iBWG_1329\summary.json
map00030	rn00030	Pentose phosphate pathway	iBWG_1329	Escherichia coli BW2952	built	2741	1949	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iBWG_1329\iBWG_1329_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iBWG_1329\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iBWG_1329	Escherichia coli BW2952	built	2741	1949	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iBWG_1329\iBWG_1329_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iBWG_1329\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	ic_1306	Escherichia coli CFT073	built	2726	1936	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\ic_1306\ic_1306_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\ic_1306\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	ic_1306	Escherichia coli CFT073	built	2726	1936	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\ic_1306\ic_1306_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\ic_1306\summary.json
map00030	rn00030	Pentose phosphate pathway	ic_1306	Escherichia coli CFT073	built	2726	1936	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\ic_1306\ic_1306_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\ic_1306\summary.json
