pathway	pathway_rn	pathway_label	model_a	organism_a	model_b	organism_b	reaction_count_a	reaction_count_b	intersection_count	union_count	only_a_count	only_b_count	jaccard	jaccard_percent	identical_reaction_set
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iAF1260b	Escherichia coli str. K-12 substr. MG1655	40	40	40	40	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iAPECO1_1312	Escherichia coli APEC O1	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iB21_1397	Escherichia coli BL21(DE3)	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iBWG_1329	Escherichia coli BW2952	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC042_1314	Escherichia coli 042	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC1344_C	Escherichia coli C	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC1349_Crooks	Escherichia coli ATCC 8739	40	40	40	40	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC1364_W	Escherichia coli W	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC1368_DH5a	Escherichia coli DH5[alpha]	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	40	40	40	40	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEC55989_1330	Escherichia coli 55989	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECABU_c1320	Escherichia coli ABU 83972	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECB_1328	Escherichia coli B str. REL606	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECDH1ME8569_1439	Escherichia coli DH1	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECD_1391	Escherichia coli BL21(DE3)	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECED1_1282	Escherichia coli ED1a	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECIAI1_1343	Escherichia coli IAI1	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECIAI39_1322	Escherichia coli IAI39	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECNA114_1301	Escherichia coli NA114	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECO103_1326	Escherichia coli O103:H2 str. 12009	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECO111_1330	Escherichia coli O111:H- str. 11128	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECO26_1355	Escherichia coli O26:H11 str. 11368	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECOK1_1307	Escherichia coli IHE3034	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECP_1309	Escherichia coli 536	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECS88_1305	Escherichia coli S88	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECSE_1348	Escherichia coli SE11	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECSF_1327	Escherichia coli SE15	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECSP_1301	Escherichia coli O157:H7 str. TW14359	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECUMN_1333	Escherichia coli UMN026	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECW_1372	Escherichia coli W	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iECs_1301	Escherichia coli O157:H7 str. Sakai	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEKO11_1354	Escherichia coli KO11FL	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iETEC_1333	Escherichia coli ETEC H10407	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEcDH1_1363	Escherichia coli DH1	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEcHS_1320	Escherichia coli HS	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEcSMS35_1347	Escherichia coli SMS-3-5	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iEcolC_1368	Escherichia coli ATCC 8739	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iG2583_1286	Escherichia coli O55:H7 str. CB9615	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iJO1366	Escherichia coli str. K-12 substr. MG1655	40	40	40	40	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iJR904	Escherichia coli str. K-12 substr. MG1655	40	37	37	40	3	0	0.925	92.5	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iLF82_1304	Escherichia coli LF82	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iML1515	Escherichia coli str. K-12 substr. MG1655	40	40	40	40	0	0	1.0	100.0	1
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iUMN146_1321	Escherichia coli UM146	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iUMNK88_1353	Escherichia coli UMNK88	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iUTI89_1310	Escherichia coli UTI89	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iWFL_1372	Escherichia coli W	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iY75_1357	Escherichia coli str. K-12 substr. W3110	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	iZ_1308	Escherichia coli O157:H7 str. EDL933	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260	Escherichia coli str. K-12 substr. MG1655	ic_1306	Escherichia coli CFT073	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	iAPECO1_1312	Escherichia coli APEC O1	40	41	40	41	0	1	0.9756	97.56	0
map00010	rn00010	Glycolysis / gluconeogenesis	iAF1260b	Escherichia coli str. K-12 substr. MG1655	iB21_1397	Escherichia coli BL21(DE3)	40	41	40	41	0	1	0.9756	97.56	0
