pathway	pathway_rn	pathway_label	kegg_reaction_id	present_model_count	absent_model_count	frequency_percent	status	model_reaction_ids_observed	present_models	absent_models
map00010	rn00010	Glycolysis / gluconeogenesis	R00014	57	0	100.0	core	ACLSa	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00199	57	0	100.0	core	PPS	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00200	57	0	100.0	core	PYK	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00229	57	0	100.0	core	ACCOAL	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00235	57	0	100.0	core	ACS	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00341	57	0	100.0	core	PPCK	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00431	57	0	100.0	core	PEPCK_re	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00658	57	0	100.0	core	ENO	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00703	57	0	100.0	core	LDH_L	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
map00010	rn00010	Glycolysis / gluconeogenesis	R00710	57	0	100.0	core	ALDD2x	iAF1260|iAF1260b|iAPECO1_1312|iB21_1397|iBWG_1329|iE2348C_1286|iEC042_1314|iEC1344_C|iEC1349_Crooks|iEC1356_Bl21DE3|iEC1364_W|iEC1368_DH5a|iEC1372_W3110|iEC55989_1330|iECABU_c1320|iECBD_1354|iECB_1328|iECDH10B_1368|iECDH1ME8569_1439|iECD_1391|iECED1_1282|iECH74115_1262|iECIAI1_1343|iECIAI39_1322|iECNA114_1301|iECO103_1326|iECO111_1330|iECO26_1355|iECOK1_1307|iECP_1309|iECS88_1305|iECSE_1348|iECSF_1327|iECSP_1301|iECUMN_1333|iECW_1372|iECs_1301|iEKO11_1354|iETEC_1333|iEcDH1_1363|iEcE24377_1341|iEcHS_1320|iEcSMS35_1347|iEcolC_1368|iG2583_1286|iJO1366|iJR904|iLF82_1304|iML1515|iNRG857_1313|iUMN146_1321|iUMNK88_1353|iUTI89_1310|iWFL_1372|iY75_1357|iZ_1308|ic_1306	
