pathway	pathway_rn	pathway_label	model_id	organism	reaction_count	reaction_set	status	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	17	R00200|R00235|R00431|R00658|R00703|R00710|R00711|R00746|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518|R01662	ok	results\eukaryote_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	16	R00200|R00235|R00431|R00658|R00703|R00710|R00711|R00746|R00756|R00762|R01015|R01061|R01068|R01512|R01518|R01662	ok	results\eukaryote_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM904	Saccharomyces cerevisiae S288C	15	R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518|R01662	ok	results\eukaryote_maps\maps\map00010\iMM904\iMM904_map00010_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	Recon3D	Homo sapiens	13	R00268|R00342|R00344|R00351|R00352|R00405|R00431|R00432|R00709|R01082|R01325|R01899|R01900	ok	results\eukaryote_maps\maps\map00020\Recon3D\Recon3D_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iMM1415	Mus musculus	9	R00342|R00344|R00351|R00352|R00405|R00431|R00432|R00709|R01082	ok	results\eukaryote_maps\maps\map00020\iMM1415\iMM1415_map00020_map.json
map00020	rn00020	Citrate cycle (TCA cycle)	iMM904	Saccharomyces cerevisiae S288C	7	R00341|R00342|R00344|R00351|R00405|R00709|R01082	ok	results\eukaryote_maps\maps\map00020\iMM904\iMM904_map00020_map.json
map00030	rn00030	Pentose phosphate pathway	Recon3D	Homo sapiens	15	R00756|R00762|R01049|R01051|R01056|R01057|R01066|R01068|R01528|R01529|R01737|R02035|R02749|R02750|R08572	ok	results\eukaryote_maps\maps\map00030\Recon3D\Recon3D_map00030_map.json
map00030	rn00030	Pentose phosphate pathway	iMM1415	Mus musculus	13	R00756|R00762|R01049|R01051|R01056|R01057|R01066|R01068|R01528|R01529|R02035|R02750|R08572	ok	results\eukaryote_maps\maps\map00030\iMM1415\iMM1415_map00030_map.json
map00030	rn00030	Pentose phosphate pathway	iMM904	Saccharomyces cerevisiae S288C	11	R00756|R00762|R01049|R01051|R01056|R01057|R01068|R01528|R01529|R02035|R02750	ok	results\eukaryote_maps\maps\map00030\iMM904\iMM904_map00030_map.json
map00680	rn00680	Methane metabolism / C1 metabolism	Recon3D	Homo sapiens	19	R00235|R00342|R00519|R00527|R00582|R00605|R00658|R00736|R00756|R00762|R00945|R01011|R01068|R01513|R01518|R04173|R06982|R06983|R08572	ok	results\eukaryote_maps\maps\map00680\Recon3D\Recon3D_map00680_map.json
map00680	rn00680	Methane metabolism / C1 metabolism	iMM1415	Mus musculus	15	R00235|R00342|R00519|R00527|R00582|R00658|R00736|R00756|R00762|R00945|R01068|R01513|R01518|R04173|R08572	ok	results\eukaryote_maps\maps\map00680\iMM1415\iMM1415_map00680_map.json
map00680	rn00680	Methane metabolism / C1 metabolism	iMM904	Saccharomyces cerevisiae S288C	14	R00235|R00342|R00519|R00527|R00582|R00658|R00756|R00762|R00945|R01011|R01068|R01513|R01518|R04173	ok	results\eukaryote_maps\maps\map00680\iMM904\iMM904_map00680_map.json



