pathway	pathway_rn	pathway_label	model_id	organism	reaction_node_id	kegg_reaction_id	model_reaction_id	metabolite_count	metabolite_bigg_ids	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	35	R00431	PEPCK_re	5	co2|gdp|gtp|oaa|pep	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	12	R00658	ENO	3	2pg|h2o|pep	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	10	R00703	LDH_L	5	h|lac__L|nad|nadh|pyr	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	1	R00710	ALDD2xm	6	ac|acald|h|h2o|nad|nadh	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	3	R00711	ALDD2y	6	ac|acald|h|h2o|nadp|nadph	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	5	R00746	ALCD2y	5	acald|etoh|h|nadp|nadph	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	6	R00754	ALCD2x	5	acald|etoh|h|nad|nadh	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	16	R00756	PFK	5	adp|atp|f6p|fdp|h	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	15	R01015	TPI	2	dhap	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	14	R01061	GAPD	6	13dpg|h|nad|nadh|pi	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	0	R01068	FBA	3	dhap|fdp	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	28	R01512	PGK	4	13dpg|3pg|adp|atp	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	13	R01518	PGM	2	2pg|3pg	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	44	R01662	DPGM	3	13dpg|23dpg|h	results\compartments\no_fallback_maps\maps\map00010\Recon3D\Recon3D_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	11	R00200	PYK	5	adp|atp|h|pep|pyr	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	45	R00235	ACS	6	ac|accoa|amp|atp|coa|ppi	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	35	R00431	PEPCK_re	5	co2|gdp|gtp|oaa|pep	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	12	R00658	ENO	3	2pg|h2o|pep	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	10	R00703	LDH_Lm	5	h|lac__L|nad|nadh|pyr	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	1	R00710	ALDD2x	6	ac|acald|h|h2o|nad|nadh	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	3	R00711	ALDD2y	6	ac|acald|h|h2o|nadp|nadph	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	5	R00746	ALCD2y	5	acald|etoh|h|nadp|nadph	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	16	R00756	PFK	5	adp|atp|f6p|fdp|h	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	17	R00762	FBP	4	f6p|fdp|h2o|pi	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	15	R01015	TPI	2	dhap	results\compartments\no_fallback_maps\maps\map00010\iMM1415\iMM1415_map00010_map.json
