pathway	pathway_rn	pathway_label	model_a	organism_a	model_b	organism_b	reaction_count_a	reaction_count_b	intersection_count	union_count	only_a_count	only_b_count	jaccard	jaccard_percent	identical_reaction_set
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	iMM1415	Mus musculus	17	16	16	17	1	0	0.9412	94.12	0
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	Homo sapiens	iMM904	Saccharomyces cerevisiae S288C	17	15	14	18	3	1	0.7778	77.78	0
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	Mus musculus	iMM904	Saccharomyces cerevisiae S288C	16	15	13	18	3	2	0.7222	72.22	0
map00020	rn00020	Citrate cycle (TCA cycle)	Recon3D	Homo sapiens	iMM1415	Mus musculus	13	9	9	13	4	0	0.6923	69.23	0
map00020	rn00020	Citrate cycle (TCA cycle)	Recon3D	Homo sapiens	iMM904	Saccharomyces cerevisiae S288C	13	7	6	14	7	1	0.4286	42.86	0
map00020	rn00020	Citrate cycle (TCA cycle)	iMM1415	Mus musculus	iMM904	Saccharomyces cerevisiae S288C	9	7	6	10	3	1	0.6	60.0	0
map00030	rn00030	Pentose phosphate pathway	Recon3D	Homo sapiens	iMM1415	Mus musculus	15	13	13	15	2	0	0.8667	86.67	0
map00030	rn00030	Pentose phosphate pathway	Recon3D	Homo sapiens	iMM904	Saccharomyces cerevisiae S288C	15	11	11	15	4	0	0.7333	73.33	0
map00030	rn00030	Pentose phosphate pathway	iMM1415	Mus musculus	iMM904	Saccharomyces cerevisiae S288C	13	11	11	13	2	0	0.8462	84.62	0
map00680	rn00680	Methane metabolism / C1 metabolism	Recon3D	Homo sapiens	iMM1415	Mus musculus	19	15	15	19	4	0	0.7895	78.95	0
map00680	rn00680	Methane metabolism / C1 metabolism	Recon3D	Homo sapiens	iMM904	Saccharomyces cerevisiae S288C	19	14	14	19	5	0	0.7368	73.68	0
map00680	rn00680	Methane metabolism / C1 metabolism	iMM1415	Mus musculus	iMM904	Saccharomyces cerevisiae S288C	15	14	13	16	2	1	0.8125	81.25	0




