pathway	pathway_rn	pathway_label	model_a	model_b	only_a_count	only_a_reactions	only_b_count	only_b_reactions	shared_count	shared_reactions
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	iMM1415	1	R00754	0		16	R00200|R00235|R00431|R00658|R00703|R00710|R00711|R00746|R00756|R00762|R01015|R01061|R01068|R01512|R01518|R01662
map00010	rn00010	Glycolysis / gluconeogenesis	Recon3D	iMM904	3	R00431|R00703|R00746	1	R00341	14	R00200|R00235|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518|R01662
map00010	rn00010	Glycolysis / gluconeogenesis	iMM1415	iMM904	3	R00431|R00703|R00746	2	R00341|R00754	13	R00200|R00235|R00658|R00710|R00711|R00756|R00762|R01015|R01061|R01068|R01512|R01518|R01662
map00020	rn00020	Citrate cycle (TCA cycle)	Recon3D	iMM1415	4	R00268|R01325|R01899|R01900	0		9	R00342|R00344|R00351|R00352|R00405|R00431|R00432|R00709|R01082
map00020	rn00020	Citrate cycle (TCA cycle)	Recon3D	iMM904	7	R00268|R00352|R00431|R00432|R01325|R01899|R01900	1	R00341	6	R00342|R00344|R00351|R00405|R00709|R01082
map00020	rn00020	Citrate cycle (TCA cycle)	iMM1415	iMM904	3	R00352|R00431|R00432	1	R00341	6	R00342|R00344|R00351|R00405|R00709|R01082
map00030	rn00030	Pentose phosphate pathway	Recon3D	iMM1415	2	R01737|R02749	0		13	R00756|R00762|R01049|R01051|R01056|R01057|R01066|R01068|R01528|R01529|R02035|R02750|R08572
map00030	rn00030	Pentose phosphate pathway	Recon3D	iMM904	4	R01066|R01737|R02749|R08572	0		11	R00756|R00762|R01049|R01051|R01056|R01057|R01068|R01528|R01529|R02035|R02750
map00030	rn00030	Pentose phosphate pathway	iMM1415	iMM904	2	R01066|R08572	0		11	R00756|R00762|R01049|R01051|R01056|R01057|R01068|R01528|R01529|R02035|R02750
map00680	rn00680	Methane metabolism / C1 metabolism	Recon3D	iMM1415	4	R00605|R01011|R06982|R06983	0		15	R00235|R00342|R00519|R00527|R00582|R00658|R00736|R00756|R00762|R00945|R01068|R01513|R01518|R04173|R08572
map00680	rn00680	Methane metabolism / C1 metabolism	Recon3D	iMM904	5	R00605|R00736|R06982|R06983|R08572	0		14	R00235|R00342|R00519|R00527|R00582|R00658|R00756|R00762|R00945|R01011|R01068|R01513|R01518|R04173
map00680	rn00680	Methane metabolism / C1 metabolism	iMM1415	iMM904	2	R00736|R08572	1	R01011	13	R00235|R00342|R00519|R00527|R00582|R00658|R00756|R00762|R00945|R01068|R01513|R01518|R04173




