status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00010	rn00010	Glycolysis / gluconeogenesis	95	72	137	95	72	56	31	0		26	30	46.43	15	16	48.39	169	26	176	0	67	0	outputs\bigg_prokaryote_bioemma\maps\map00010\e_coli_core\e_coli_core_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\e_coli_core\e_coli_core_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\e_coli_core\summary.json	outputs\bigg_prokaryote_bioemma\models\e_coli_core.xml	2.688	
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00020	rn00020	Citrate cycle (TCA cycle)	95	72	137	95	72	29	20	0		20	9	68.97	12	8	60.0	141	20	150	0	61	0	outputs\bigg_prokaryote_bioemma\maps\map00020\e_coli_core\e_coli_core_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\e_coli_core\e_coli_core_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\e_coli_core\summary.json	outputs\bigg_prokaryote_bioemma\models\e_coli_core.xml	0.878	
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00030	rn00030	Pentose phosphate pathway	95	72	137	95	72	58	37	1	R06837	17	41	29.31	14	23	37.84	101	17	106	0	32	0	outputs\bigg_prokaryote_bioemma\maps\map00030\e_coli_core\e_coli_core_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\e_coli_core\e_coli_core_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\e_coli_core\summary.json	outputs\bigg_prokaryote_bioemma\models\e_coli_core.xml	1.043	
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00680	rn00680	Methane metabolism / C1 metabolism	95	72	137	95	72	104	86	3	R08323, R08328, R10397	15	89	14.42	18	68	20.93	112	15	103	0	40	0	outputs\bigg_prokaryote_bioemma\maps\map00680\e_coli_core\e_coli_core_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\e_coli_core\e_coli_core_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\e_coli_core\summary.json	outputs\bigg_prokaryote_bioemma\models\e_coli_core.xml	0.823	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00010	rn00010	Glycolysis / gluconeogenesis	2382	1668	1261	2382	1668	56	31	0		40	16	71.43	19	12	61.29	269	40	283	0	118	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\iAF1260_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260.xml	1.773	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00020	rn00020	Citrate cycle (TCA cycle)	2382	1668	1261	2382	1668	29	20	0		22	7	75.86	13	7	65.0	150	22	162	0	64	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260\iAF1260_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260\iAF1260_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260.xml	1.226	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00030	rn00030	Pentose phosphate pathway	2382	1668	1261	2382	1668	58	37	1	R06837	34	24	58.62	26	11	70.27	204	34	215	0	71	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260\iAF1260_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260\iAF1260_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260.xml	1.752	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00680	rn00680	Methane metabolism / C1 metabolism	2382	1668	1261	2382	1668	104	86	3	R08323, R08328, R10397	31	73	29.81	35	51	40.7	232	31	221	0	92	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260\iAF1260_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260\iAF1260_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260.xml	2.758	
built	iAF1260b	Escherichia coli str. K-12 substr. MG1655	map00010	rn00010	Glycolysis / gluconeogenesis	2388	1668	1261	2388	1668	56	31	0		40	16	71.43	19	12	61.29	269	40	283	0	118	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260b\iAF1260b_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260b\iAF1260b_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF1260b\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260b.xml	1.919	
built	iAF1260b	Escherichia coli str. K-12 substr. MG1655	map00020	rn00020	Citrate cycle (TCA cycle)	2388	1668	1261	2388	1668	29	20	0		22	7	75.86	13	7	65.0	150	22	162	0	64	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260b\iAF1260b_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260b\iAF1260b_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF1260b\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260b.xml	1.386	
built	iAF1260b	Escherichia coli str. K-12 substr. MG1655	map00030	rn00030	Pentose phosphate pathway	2388	1668	1261	2388	1668	58	37	1	R06837	34	24	58.62	26	11	70.27	204	34	215	0	71	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260b\iAF1260b_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260b\iAF1260b_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iAF1260b\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260b.xml	1.791	
built	iAF1260b	Escherichia coli str. K-12 substr. MG1655	map00680	rn00680	Methane metabolism / C1 metabolism	2388	1668	1261	2388	1668	104	86	3	R08323, R08328, R10397	31	73	29.81	35	51	40.7	232	31	221	0	92	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260b\iAF1260b_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260b\iAF1260b_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iAF1260b\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF1260b.xml	2.666	
built	iAF692	Methanosarcina barkeri str. Fusaro	map00010	rn00010	Glycolysis / gluconeogenesis	690	628	692	690	628	56	31	0		33	23	58.93	19	12	61.29	226	33	233	0	99	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF692\iAF692_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF692\iAF692_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iAF692\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF692.xml	1.66	
built	iAF692	Methanosarcina barkeri str. Fusaro	map00020	rn00020	Citrate cycle (TCA cycle)	690	628	692	690	628	29	20	0		10	19	34.48	12	8	60.0	70	10	67	0	25	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF692\iAF692_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF692\iAF692_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iAF692\summary.json	outputs\bigg_prokaryote_bioemma\models\iAF692.xml	0.909	
