bigg_id	organism	reaction_count	metabolite_count	gene_count	domain_classification	classification_reason
e_coli_core	Escherichia coli str. K-12 substr. MG1655	95	72	137	prokaryote_selected	not in known eukaryotic BiGG taxa
iAF1260	Escherichia coli str. K-12 substr. MG1655	2382	1668	1261	prokaryote_selected	not in known eukaryotic BiGG taxa
iAF1260b	Escherichia coli str. K-12 substr. MG1655	2388	1668	1261	prokaryote_selected	not in known eukaryotic BiGG taxa
iAF692	Methanosarcina barkeri str. Fusaro	690	628	692	prokaryote_selected	not in known eukaryotic BiGG taxa
iAF987	Geobacter metallireducens GS-15	1285	1109	987	prokaryote_selected	not in known eukaryotic BiGG taxa
iAPECO1_1312	Escherichia coli APEC O1	2735	1942	1313	prokaryote_selected	not in known eukaryotic BiGG taxa
iB21_1397	Escherichia coli BL21(DE3)	2741	1943	1337	prokaryote_selected	not in known eukaryotic BiGG taxa
iBWG_1329	Escherichia coli BW2952	2741	1949	1329	prokaryote_selected	not in known eukaryotic BiGG taxa
ic_1306	Escherichia coli CFT073	2726	1936	1307	prokaryote_selected	not in known eukaryotic BiGG taxa
iCN718	Acinetobacter baumannii AYE	1015	888	709	prokaryote_selected	not in known eukaryotic BiGG taxa
iCN900	Clostridioides difficile 630	1229	885	900	prokaryote_selected	not in known eukaryotic BiGG taxa
iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	2703	1919	1287	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC042_1314	Escherichia coli 042	2714	1926	1314	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC1344_C	Escherichia coli C	2726	1934	1344	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC1349_Crooks	Escherichia coli ATCC 8739	2756	1946	1349	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	2740	1918	1356	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC1364_W	Escherichia coli W	2764	1927	1364	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC1368_DH5a	Escherichia coli DH5[alpha]	2779	1951	1368	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	2758	1918	1372	prokaryote_selected	not in known eukaryotic BiGG taxa
iEC55989_1330	Escherichia coli 55989	2756	1953	1330	prokaryote_selected	not in known eukaryotic BiGG taxa
iECABU_c1320	Escherichia coli ABU 83972	2731	1942	1320	prokaryote_selected	not in known eukaryotic BiGG taxa
iECB_1328	Escherichia coli B str. REL606	2748	1951	1329	prokaryote_selected	not in known eukaryotic BiGG taxa
