status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00010	rn00010	Glycolysis / gluconeogenesis	95	72	137	95	72	56	31	0		12	44	21.43	15	16	48.39	77	12	75	0	26	0	results\prokaryote_maps\maps\map00010\e_coli_core\e_coli_core_map00010_map.json	results\prokaryote_maps\maps\map00010\e_coli_core\e_coli_core_map00010_map.html	results\prokaryote_maps\maps\map00010\e_coli_core\summary.json	http://bigg.ucsd.edu/static/models/e_coli_core.xml	2.69	
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00020	rn00020	Citrate cycle (TCA cycle)	95	72	137	95	72	29	20	0		7	22	24.14	12	8	60.0	49	7	45	0	16	0	results\prokaryote_maps\maps\map00020\e_coli_core\e_coli_core_map00020_map.json	results\prokaryote_maps\maps\map00020\e_coli_core\e_coli_core_map00020_map.html	results\prokaryote_maps\maps\map00020\e_coli_core\summary.json	http://bigg.ucsd.edu/static/models/e_coli_core.xml	1.372	
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00030	rn00030	Pentose phosphate pathway	95	72	137	95	72	58	37	1	R06837	9	49	15.52	14	23	37.84	52	9	51	0	11	0	results\prokaryote_maps\maps\map00030\e_coli_core\e_coli_core_map00030_map.json	results\prokaryote_maps\maps\map00030\e_coli_core\e_coli_core_map00030_map.html	results\prokaryote_maps\maps\map00030\e_coli_core\summary.json	http://bigg.ucsd.edu/static/models/e_coli_core.xml	1.049	
built	e_coli_core	Escherichia coli str. K-12 substr. MG1655	map00680	rn00680	Methane metabolism / C1 metabolism	95	72	137	95	72	104	86	3	R08323, R08328, R10397	10	94	9.62	18	68	20.93	69	10	62	0	21	0	results\prokaryote_maps\maps\map00680\e_coli_core\e_coli_core_map00680_map.json	results\prokaryote_maps\maps\map00680\e_coli_core\e_coli_core_map00680_map.html	results\prokaryote_maps\maps\map00680\e_coli_core\summary.json	http://bigg.ucsd.edu/static/models/e_coli_core.xml	1.101	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00010	rn00010	Glycolysis / gluconeogenesis	2382	1668	1261	2382	1668	56	31	0		15	41	26.79	19	12	61.29	102	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.json	results\prokaryote_maps\maps\map00010\iAF1260\iAF1260_map00010_map.html	results\prokaryote_maps\maps\map00010\iAF1260\summary.json	http://bigg.ucsd.edu/static/models/iAF1260.xml	2.004	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00020	rn00020	Citrate cycle (TCA cycle)	2382	1668	1261	2382	1668	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iAF1260\iAF1260_map00020_map.json	results\prokaryote_maps\maps\map00020\iAF1260\iAF1260_map00020_map.html	results\prokaryote_maps\maps\map00020\iAF1260\summary.json	http://bigg.ucsd.edu/static/models/iAF1260.xml	1.433	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00030	rn00030	Pentose phosphate pathway	2382	1668	1261	2382	1668	58	37	1	R06837	22	36	37.93	26	11	70.27	128	22	129	0	36	0	results\prokaryote_maps\maps\map00030\iAF1260\iAF1260_map00030_map.json	results\prokaryote_maps\maps\map00030\iAF1260\iAF1260_map00030_map.html	results\prokaryote_maps\maps\map00030\iAF1260\summary.json	http://bigg.ucsd.edu/static/models/iAF1260.xml	1.978	
built	iAF1260	Escherichia coli str. K-12 substr. MG1655	map00680	rn00680	Methane metabolism / C1 metabolism	2382	1668	1261	2382	1668	104	86	3	R08323, R08328, R10397	21	83	20.19	35	51	40.7	146	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iAF1260\iAF1260_map00680_map.json	results\prokaryote_maps\maps\map00680\iAF1260\iAF1260_map00680_map.html	results\prokaryote_maps\maps\map00680\iAF1260\summary.json	http://bigg.ucsd.edu/static/models/iAF1260.xml	3.125	
built	iAF1260b	Escherichia coli str. K-12 substr. MG1655	map00010	rn00010	Glycolysis / gluconeogenesis	2388	1668	1261	2388	1668	56	31	0		15	41	26.79	19	12	61.29	102	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.json	results\prokaryote_maps\maps\map00010\iAF1260b\iAF1260b_map00010_map.html	results\prokaryote_maps\maps\map00010\iAF1260b\summary.json	http://bigg.ucsd.edu/static/models/iAF1260b.xml	2.203	
built	iAF1260b	Escherichia coli str. K-12 substr. MG1655	map00020	rn00020	Citrate cycle (TCA cycle)	2388	1668	1261	2388	1668	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iAF1260b\iAF1260b_map00020_map.json	results\prokaryote_maps\maps\map00020\iAF1260b\iAF1260b_map00020_map.html	results\prokaryote_maps\maps\map00020\iAF1260b\summary.json	http://bigg.ucsd.edu/static/models/iAF1260b.xml	1.545	
