Row	map00010	map00020	map00030
KEGG pathway	map00010	map00020	map00030
Reactions in KEGG map	56	29	59
Mapped reactions	53/56 (94.6%)	28/29 (96.6%)	59/59 (100.0%)
Retained in gapseq, n (% of KEGG map)	32 (57.1%)	24 (82.8%)	39 (66.1%)
Retained in ModelSEED, n (% of KEGG map)	21 (37.5%)	18 (62.1%)	23 (39.0%)
Retained in Reconstructor, n (% of KEGG map)	32 (57.1%)	21 (72.4%)	26 (44.1%)
Reactions shared by all three models	19	18	20
Model-specific reactions	14	9	16
Matched to SEED	53	28	59
Matched to BiGG	46	28	44
Matched to both SEED and BiGG	46	28	44
Matched to either SEED or BiGG	53	28	59
Unmatched to SEED or BiGG	3	1	0
