# gapseq version: 2.1.0 53f3b612
# Sequence DB version: 1.5 (Bacteria, 2026-05-29)
# genome_format=prot;taxonomy=Bacteria;ORF_coverage=33.25;gram=neg
pathway	rxn	name	ec	keyrea	is_complex	subunit_count	subunits	complex	file	dbhit	spont	type	src	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	exception	status	subunits_found	subunit_undefined_found	complex.status	pathway.status
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	100	0	1065	100	BJKHBEAE_02964 Aldehyde dehydrogenase B	1	512	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_Q8GAK7	43.142	2.39e-120	356	99	BJKHBEAE_03393 Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	11	458	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	40.333	1.46e-110	334	93	BJKHBEAE_02900 NADP/NAD-dependent aldehyde dehydrogenase PuuC	23	492	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	37.63	4.43e-103	315	93	BJKHBEAE_03328 Betaine aldehyde dehydrogenase	10	481	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	35.343	1.01e-95	295	93	BJKHBEAE_03969 Gamma-aminobutyraldehyde dehydrogenase	6	474	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	35.394	3.8e-90	282	89	BJKHBEAE_04001 Phenylacetaldehyde dehydrogenase	42	499	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_Q8GAK7	34.879	1.47e-83	262	99	BJKHBEAE_00715 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	27	476	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	32.992	1.69e-80	256	94	BJKHBEAE_04169 Lactaldehyde dehydrogenase	1	475	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	28.668	1.7e-37	144	84	BJKHBEAE_03611 Bifunctional protein PutA	676	1097	0	bad_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	28.45	6.39e-38	142	90	BJKHBEAE_00242 N-succinylglutamate 5-semialdehyde dehydrogenase	4	454	0	bad_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_Q8GAK7	23.36	1.57e-16	79	79	BJKHBEAE_04003 Bifunctional protein PaaZ	55	431	0	bad_blast				
12DICHLORETHDEG-PWY	DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	TRUE	FALSE		NA		rev/3.8.1.5.fasta	rxn02515 rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882	FALSE	EC	rev	UniRef90_P9WMS1	25.085	1.14e-11	60.8	96	BJKHBEAE_03363 2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	5	283	0	bad_blast				
12DICHLORETHDEG-PWY	DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	TRUE	FALSE		NA		rev/3.8.1.5.fasta	rxn02515 rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882	FALSE	EC	rev	UniRef90_P9WMS1	19.713	0.22	29.6	88	BJKHBEAE_03734 Esterase YbfF	12	248	0	bad_blast				
12DICHLORETHDEG-PWY	DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	TRUE	FALSE		NA		rxn/DHLAXANAU-RXN.fasta	rxn02515 rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882	FALSE	metacyc	rxn									0	no_blast				
12DICHLORETHDEG-PWY	DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	FALSE	FALSE		NA		rev/3.8.1.3.fasta	rxn02050 rxn03599 rxn06154 rxn19881	FALSE	EC	rev	UniRef90_Q01399	25.225	1.01e-09	53.9	90	BJKHBEAE_02722 Phosphoglycolate phosphatase	5	218	0	bad_blast				
12DICHLORETHDEG-PWY	DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	FALSE	FALSE		NA		rev/3.8.1.3.fasta	rxn02050 rxn03599 rxn06154 rxn19881	FALSE	EC	rev	UniRef90_Q01399	22.28	0.000398	37.4	85	BJKHBEAE_02708 GMP/IMP nucleotidase YrfG	8	190	0	bad_blast				
12DICHLORETHDEG-PWY	DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	FALSE	FALSE		NA		rev/3.8.1.3.fasta	rxn02050 rxn03599 rxn06154 rxn19881	FALSE	EC	rev	UniRef90_Q01399	22.768	0.016	32.3	87	BJKHBEAE_03088 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB	7	207	0	bad_blast				
12DICHLORETHDEG-PWY	MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	FALSE	TRUE	2	Subunit 1,Subunit 2	Subunit 1	rev/1.1.2.7.fasta	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811	FALSE	EC	rev	UniRef90_P38539	26.614	1.24e-40	154	89	BJKHBEAE_01615 Quinoprotein glucose dehydrogenase	168	768	0	bad_blast	0	FALSE		
12DICHLORETHDEG-PWY	MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	FALSE	TRUE	2	Subunit 1,Subunit 2	Subunit 2		rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811	FALSE												no_blast	0	FALSE		
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	42.164	9.31e-71	216	97	BJKHBEAE_01163 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	4	270	0	good_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	31.783	6.74e-22	88.6	93	BJKHBEAE_01366 3-oxoacyl-[acyl-carrier-protein] reductase FabG	1	241	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	29.278	2.4e-20	84.7	94	BJKHBEAE_00825 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	14	261	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	32.955	6.27e-18	78.6	92	BJKHBEAE_03499 putative oxidoreductase YghA	46	290	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	30.189	2.77e-16	73.6	92	BJKHBEAE_01281 Oxidoreductase UcpA	3	252	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	29.297	1.5e-15	71.2	93	BJKHBEAE_02789 Cyclic-di-GMP-binding biofilm dispersal mediator protein	4	236	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	26.296	4.15e-15	70.1	95	BJKHBEAE_00373 7alpha-hydroxysteroid dehydrogenase	7	254	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	26.415	4.6e-15	70.1	94	BJKHBEAE_00893 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	6	253	0	bad_blast				
14DICHLORBENZDEG-PWY	CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	TRUE	FALSE		NA		rev/1.3.1.119.fasta	rxn03698 rxn04647 rxn04672 rxn25894 rxn25907	FALSE	EC	rev	UniRef90_O69264	25.67	3.44e-10	56.2	91	BJKHBEAE_02612 putative oxidoreductase YohF	3	243	0	bad_blast				
