# gapseq version: 2.1.0 53f3b612
# Transporter sequence DB md5sum: b99a77e (2026-06-08)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	24.39	2.9	23.5	85	BJKHBEAE_01759 hypothetical protein	155	235	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	100	0	842	100	BJKHBEAE_02952 Voltage-gated potassium channel Kch	1	417	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	100	0	1380	100	BJKHBEAE_00109 Flagellar biosynthesis protein FlhA	1	692	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	40.949	1.09e-137	413	80	BJKHBEAE_03785 Flagellar biosynthesis protein FlhA	10	574	transporter
gnl|TC-DB|P69681|1.A.11.1.1	1.A.11.1.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P69681|1.A.11.1.1	100	0	842	100	BJKHBEAE_02517 Ammonium transporter AmtB	1	428	transporter
gnl|TC-DB|P54146|1.A.11.1.2	1.A.11.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P54146|1.A.11.1.2	34.286	1.74e-65	213	90	BJKHBEAE_02517 Ammonium transporter AmtB	28	427	transporter
gnl|TC-DB|Q79VF1|1.A.11.1.3	1.A.11.1.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q79VF1|1.A.11.1.3	40.749	5.01e-89	274	96	BJKHBEAE_02517 Ammonium transporter AmtB	31	427	transporter
gnl|TC-DB|O67997|1.A.11.1.4	1.A.11.1.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O67997|1.A.11.1.4	50.237	1.2e-129	378	96	BJKHBEAE_02517 Ammonium transporter AmtB	13	426	transporter
gnl|TC-DB|O66515|1.A.11.1.5	1.A.11.1.5	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O66515|1.A.11.1.5	44.391	1.48e-112	334	97	BJKHBEAE_02517 Ammonium transporter AmtB	13	427	transporter
gnl|TC-DB|P54144|1.A.11.2.1	1.A.11.2.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P54144|1.A.11.2.1	30.645	3.74e-45	160	85	BJKHBEAE_02517 Ammonium transporter AmtB	31	426	transporter
gnl|TC-DB|Q9M6N7|1.A.11.2.2	1.A.11.2.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9M6N7|1.A.11.2.2	35.059	2.57e-65	214	89	BJKHBEAE_02517 Ammonium transporter AmtB	24	426	transporter
gnl|TC-DB|Q93IP6|1.A.11.2.3	1.A.11.2.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q93IP6|1.A.11.2.3	32.598	9.04e-46	162	81	BJKHBEAE_02517 Ammonium transporter AmtB	24	414	transporter
gnl|TC-DB|P58905|1.A.11.2.4	1.A.11.2.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P58905|1.A.11.2.4	29.099	1.06e-39	145	87	BJKHBEAE_02517 Ammonium transporter AmtB	31	426	transporter
gnl|TC-DB|P40260|1.A.11.3.1	1.A.11.3.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P40260|1.A.11.3.1	34.559	6.02e-65	213	83	BJKHBEAE_02517 Ammonium transporter AmtB	33	427	transporter
gnl|TC-DB|P41948|1.A.11.3.2	1.A.11.3.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P41948|1.A.11.3.2	35.476	4.71e-64	211	84	BJKHBEAE_02517 Ammonium transporter AmtB	28	427	transporter
gnl|TC-DB|Q8NKD5|1.A.11.3.3	1.A.11.3.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q8NKD5|1.A.11.3.3	39.953	6.72e-81	254	87	BJKHBEAE_02517 Ammonium transporter AmtB	24	427	transporter
gnl|TC-DB|Q96UY0|1.A.11.3.4	1.A.11.3.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q96UY0|1.A.11.3.4	39.904	4.02e-74	236	88	BJKHBEAE_02517 Ammonium transporter AmtB	26	427	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.633	7.16e-25	96.7	75	BJKHBEAE_02558 NADPH-dependent 3-dehydrocapnine reductase	2	193	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.22	3.09e-23	92	77	BJKHBEAE_01366 3-oxoacyl-[acyl-carrier-protein] reductase FabG	1	200	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	25.581	1.07e-07	48.9	77	BJKHBEAE_03499 putative oxidoreductase YghA	52	263	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	26.201	4.26e-12	61.6	79	BJKHBEAE_02773 5-keto-D-gluconate 5-reductase	13	231	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	23.474	0.016	32.7	82	BJKHBEAE_03435 Stringent starvation protein A	21	210	transporter
gnl|TC-DB|O15247|1.A.12.1.5	1.A.12.1.5	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O15247|1.A.12.1.5	22.791	0.007	33.9	81	BJKHBEAE_03435 Stringent starvation protein A	21	202	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	22.326	0.000138	38.9	83	BJKHBEAE_03435 Stringent starvation protein A	21	212	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	25.532	1.03e-09	53.1	84	BJKHBEAE_03435 Stringent starvation protein A	21	202	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.49	0.005	33.5	83	BJKHBEAE_02960 putative GST-like protein YibF	10	198	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	28.161	0.000109	38.9	77	BJKHBEAE_00565 Glutathione S-transferase GstB	1	148	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100	6.39e-160	437	100	BJKHBEAE_03435 Stringent starvation protein A	1	212	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	28.191	7.22e-05	39.3	80	BJKHBEAE_01003 Glutathione S-transferase YfcF	24	201	transporter
gnl|TC-DB|P76481|1.A.13.2.3	1.A.13.2.3	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P76481|1.A.13.2.3	100	0	1178	100	BJKHBEAE_01035 hypothetical protein	1	575	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	100	0	2278	100	BJKHBEAE_02530 Mechanosensitive channel MscK	1	1120	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	100	0	2278	100	BJKHBEAE_02530 Mechanosensitive channel MscK	1	1120	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	28.372	1.82e-106	357	91	BJKHBEAE_01850 Miniconductance mechanosensitive channel MscM	62	1090	transporter
