locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJKHBEAE_00001	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
BJKHBEAE_00002	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
BJKHBEAE_00003	CDS	1080	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
BJKHBEAE_00004	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
BJKHBEAE_00005	tRNA	76				tRNA-Asn(gtt)
BJKHBEAE_00006	CDS	918	gltC_1		COG0583	Transcriptional dual regulator GltC
BJKHBEAE_00007	CDS	951	cbl		COG0583	HTH-type transcriptional regulator cbl
BJKHBEAE_00008	tRNA	76				tRNA-Asn(gtt)
BJKHBEAE_00009	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
BJKHBEAE_00010	tRNA	76				tRNA-Asn(gtt)
BJKHBEAE_00011	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
BJKHBEAE_00012	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
BJKHBEAE_00013	CDS	1317	shiA		COG0477	Shikimate transporter
BJKHBEAE_00014	CDS	705				hypothetical protein
BJKHBEAE_00015	CDS	7104	yeeJ		COG1388	Inverse autotransporter adhesin YeeJ
BJKHBEAE_00016	CDS	150				hypothetical protein
BJKHBEAE_00017	tRNA	76				tRNA-Asn(gtt)
BJKHBEAE_00018	CDS	798	mtfA	3.4.11.-	COG3228	Mlc titration factor A
BJKHBEAE_00019	tRNA	90				tRNA-Ser(cga)
BJKHBEAE_00020	CDS	531	yodB		COG3038	Cytochrome b561 
BJKHBEAE_00021	CDS	651	zinT		COG3443	Metal-binding protein ZinT
BJKHBEAE_00022	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
BJKHBEAE_00023	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
BJKHBEAE_00024	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
BJKHBEAE_00025	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
BJKHBEAE_00026	CDS	1359	hprS	2.7.13.3	COG2205	Sensor histidine kinase HprS
BJKHBEAE_00027	CDS	852	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
BJKHBEAE_00028	CDS	390	ompN_1		COG3203	Outer membrane porin N
BJKHBEAE_00029	CDS	93				hypothetical protein
BJKHBEAE_00030	CDS	486	ompC_1			Outer membrane porin C
BJKHBEAE_00031	CDS	303	drpB			Cell division protein DrpB
BJKHBEAE_00032	CDS	696	yedJ		COG1418	putative protein YedJ
BJKHBEAE_00033	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
BJKHBEAE_00034	CDS	471	vsr	3.1.-.-	COG3727	DNA mismatch endonuclease Vsr
BJKHBEAE_00035	CDS	921	yedA		COG0697	putative inner membrane transporter YedA
BJKHBEAE_00036	CDS	918	yedI		COG2354	Inner membrane protein YedI
BJKHBEAE_00037	CDS	183				hypothetical protein
BJKHBEAE_00038	CDS	1695	dgcQ	2.7.7.65	COG3706	putative diguanylate cyclase DgcQ
BJKHBEAE_00039	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
BJKHBEAE_00040	CDS	228				hypothetical protein
BJKHBEAE_00041	CDS	189	dsrB			Protein DsrB
BJKHBEAE_00042	CDS	624	rcsA		COG2197	Transcriptional regulatory protein RcsA
BJKHBEAE_00043	CDS	786	fliR			Flagellar biosynthetic protein FliR
BJKHBEAE_00044	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
BJKHBEAE_00045	CDS	738	fliP			Flagellar biosynthetic protein FliP
BJKHBEAE_00046	CDS	366	fliO			Flagellar protein FliO
BJKHBEAE_00047	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
BJKHBEAE_00048	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
BJKHBEAE_00049	CDS	465				hypothetical protein
BJKHBEAE_00050	CDS	1128	fliK			Flagellar hook-length control protein
BJKHBEAE_00051	CDS	444	fliJ		COG2882	Flagellar FliJ protein
BJKHBEAE_00052	CDS	1374	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
BJKHBEAE_00053	CDS	687	fliH			Flagellar assembly protein FliH
BJKHBEAE_00054	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
BJKHBEAE_00055	CDS	1659	fliF		COG1766	Flagellar M-ring protein
BJKHBEAE_00056	CDS	315	fliE			Flagellar hook-basal body complex protein FliE
BJKHBEAE_00057	CDS	351				hypothetical protein
BJKHBEAE_00058	CDS	192				hypothetical protein
BJKHBEAE_00059	CDS	480	ysnE	2.3.1.-	COG0454	putative N-acetyltransferase YsnE
BJKHBEAE_00060	CDS	669	yedK	4.-.-.-	COG2135	Abasic site processing protein YedK
BJKHBEAE_00061	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
BJKHBEAE_00062	CDS	1206	yedE		COG2391	putative transporter YedE
